source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
SPO,EV/Q60MGS,"QUADEC IN/OUT CORNER 1/4"" ALUM MATTE BLK",,100942317,EV/Q60MGS,"QUADEC IN/OUT CORNER 1/4"" ALUM MATTE BLK"
SPO,EV/Q60MBW,"QUADEC IN/OUT CORNER 1/4"" ALUM MATTE WHT",,100942309,EV/Q60MBW,"QUADEC IN/OUT CORNER 1/4"" ALUM MATTE WHT"
SPO,EV/Q60TSG,"QUADEC IN/OUT CORNER 1/4"" ALUM PEWTER",,100388255,EV/Q60TSG,"QUADEC IN/OUT CORNER 1/4"" ALUM PEWTER"
SPO,EV/Q60ACG,"QUADEC IN/OUT CORNER 1/4"" ALUM POLISH CHROME",,951500714,EV/Q60ACG,"QUADEC IN/OUT CORNER 1/4"" ALUM POLISH CHROME"
SPO,EV/Q60TSR,"QUADEC IN/OUT CORNER 1/4"" ALUM RUSTIC BROWN",,100388164,EV/Q60TSR,"QUADEC IN/OUT CORNER 1/4"" ALUM RUSTIC BROWN"
SPO,EV/Q60AE,"QUADEC IN/OUT CORNER 1/4"" ALUM SATIN",,951500657,EV/Q60AE,"QUADEC IN/OUT CORNER 1/4"" ALUM SATIN"
SPO,EV/Q60AT,"QUADEC IN/OUT CORNER 1/4"" ALUM SATIN NICKEL",,951500650,EV/Q60AT,"QUADEC IN/OUT CORNER 1/4"" ALUM SATIN NICKEL"
SPO,EV/Q60TSSG,"QUADEC IN/OUT CORNER 1/4"" ALUM STONE GREY",,100388198,EV/Q60TSSG,"QUADEC IN/OUT CORNER 1/4"" ALUM STONE GREY"
SPO,EV/Q60EB,"QUADEC IN/OUT CORNER 1/4"" BRUSH STN STEEL",,951502167,EV/Q60EB,"QUADEC IN/OUT CORNER 1/4"" BRUSH STN STEEL"
SPO,EV/Q60E,"QUADEC IN/OUT CORNER 1/4"" STN STEEL",,951501996,EV/Q60E,"QUADEC IN/OUT CORNER 1/4"" STN STEEL"
SPO,EV/Q90EB,"QUADEC IN/OUT CORNER 11/32"" BRUSH STN STEEL",,951502227,EV/Q90EB,"QUADEC IN/OUT CORNER 11/32"" BRUSH STN STEEL"
SPO,EV/Q90E,"QUADEC IN/OUT CORNER 11/32"" STN STEEL",,951502024,EV/Q90E,"QUADEC IN/OUT CORNER 11/32"" STN STEEL"
SPO,EV/Q140EB,"QUADEC IN/OUT CORNER 17/32"" BRUSH STN STEEL",,951502300,EV/Q140EB,"QUADEC IN/OUT CORNER 17/32"" BRUSH STN STEEL"
SPO,EV/Q140E,"QUADEC IN/OUT CORNER 17/32"" STN STEEL",,951502148,EV/Q140E,"QUADEC IN/OUT CORNER 17/32"" STN STEEL"
SPO,EV/Q45TSB,"QUADEC IN/OUT CORNER 3/16"" ALUM BEIGE",,100388131,EV/Q45TSB,"QUADEC IN/OUT CORNER 3/16"" ALUM BEIGE"
SPO,EV/Q45TSOB,"QUADEC IN/OUT CORNER 3/16"" ALUM BRONZE",,100388149,EV/Q45TSOB,"QUADEC IN/OUT CORNER 3/16"" ALUM BRONZE"
SPO,EV/Q45TSC,"QUADEC IN/OUT CORNER 3/16"" ALUM CREAM",,100388107,EV/Q45TSC,"QUADEC IN/OUT CORNER 3/16"" ALUM CREAM"
SPO,EV/Q45TSDA,"QUADEC IN/OUT CORNER 3/16"" ALUM DARK ANTHRACITE",,100388073,EV/Q45TSDA,"QUADEC IN/OUT CORNER 3/16"" ALUM DARK ANTHRACITE"
SPO,EV/Q45TSBG,"QUADEC IN/OUT CORNER 3/16"" ALUM GREIGE",,100388115,EV/Q45TSBG,"QUADEC IN/OUT CORNER 3/16"" ALUM GREIGE"
SPO,EV/Q45TSI,"QUADEC IN/OUT CORNER 3/16"" ALUM IVORY",,100388123,EV/Q45TSI,"QUADEC IN/OUT CORNER 3/16"" ALUM IVORY"
SPO,EV/Q45TSLA,"QUADEC IN/OUT CORNER 3/16"" ALUM LT ANTHRACITE",,100388081,EV/Q45TSLA,"QUADEC IN/OUT CORNER 3/16"" ALUM LT ANTHRACITE"
SPO,EV/Q45MGS,"QUADEC IN/OUT CORNER 3/16"" ALUM MATTE BLK",,100942291,EV/Q45MGS,"QUADEC IN/OUT CORNER 3/16"" ALUM MATTE BLK"
SPO,EV/Q45MBW,"QUADEC IN/OUT CORNER 3/16"" ALUM MATTE WHT",,100942283,EV/Q45MBW,"QUADEC IN/OUT CORNER 3/16"" ALUM MATTE WHT"
SPO,EV/Q45TSG,"QUADEC IN/OUT CORNER 3/16"" ALUM PEWTER",,100388156,EV/Q45TSG,"QUADEC IN/OUT CORNER 3/16"" ALUM PEWTER"
